Sample	stress	rpkm_sum	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	Group	pH	conc_NaCl	g_L_lactic_acid
O104	bile salt	4880.209268	C146	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	Daniele Mandarello	4.51	47.24	4.73
O104	osmosis	172209.9495	C146	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	Daniele Mandarello	4.51	47.24	4.73
O104	pH	329863.9659	C146	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	Daniele Mandarello	4.51	47.24	4.73
O104	temperature	749369.1708	C146	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	Daniele Mandarello	4.51	47.24	4.73
O106	bile salt	17389.77987	C148	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.06	30.3	6.9
O106	osmosis	192748.7578	C148	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.06	30.3	6.9
O106	pH	350856.1068	C148	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.06	30.3	6.9
O106	temperature	605429.2068	C148	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.06	30.3	6.9
O107	bile salt	12515.86001	C149	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.97	33.53	8.84
O107	osmosis	193278.4083	C149	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.97	33.53	8.84
O107	pH	366466.3121	C149	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.97	33.53	8.84
O107	temperature	547235.7417	C149	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.97	33.53	8.84
O108	bile salt	14490.36264	C150	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.02	31.8	7.77
O108	osmosis	184911.6901	C150	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.02	31.8	7.77
O108	pH	372175.7548	C150	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.02	31.8	7.77
O108	temperature	526106.0803	C150	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.02	31.8	7.77
O109	bile salt	17477.49508	C151	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.07	35.97	6.15
O109	osmosis	192806.9501	C151	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.07	35.97	6.15
O109	pH	362529.3868	C151	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.07	35.97	6.15
O109	temperature	539457.2034	C151	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	4.07	35.97	6.15
O11	bile salt	10923.17756	CY6	Manzanillo	Manzanilla	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	8.08	79.3122006	NA
O11	osmosis	177864.0567	CY6	Manzanillo	Manzanilla	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	8.08	79.3122006	NA
O11	pH	309246.4679	CY6	Manzanillo	Manzanilla	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	8.08	79.3122006	NA
O11	temperature	669480.3242	CY6	Manzanillo	Manzanilla	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	8.08	79.3122006	NA
O110	bile salt	7768.987996	PVG01	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	PVG_01	3.91	43.4	6.82
O110	osmosis	248029.2725	PVG01	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	PVG_01	3.91	43.4	6.82
O110	pH	361538.8467	PVG01	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	PVG_01	3.91	43.4	6.82
O110	temperature	480143.2755	PVG01	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	PVG_01	3.91	43.4	6.82
O111	bile salt	5485.177682	C152	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.87	36.93	8.5
O111	osmosis	242307.3317	C152	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.87	36.93	8.5
