x	y	r
195	Terasakiispira_papahanaumokuakeensis	3-pentanol	-0.347930006661407
196	3-pentanol	Terasakiispira_papahanaumokuakeensis	NA
197	Alkalibacterium_pelagium	α-farnesene	-0.347914203281967
198	α-farnesene	Alkalibacterium_pelagium	NA
199	Lentilactobacillus_parafarraginis	isovaleric acid	0.347632637692449
200	isovaleric acid	Lentilactobacillus_parafarraginis	NA
201	Lentilactobacillus_parafarraginis	ethyl-2-methylbutanoate	0.347279173824991
202	ethyl-2-methylbutanoate	Lentilactobacillus_parafarraginis	NA
203	Leuconostoc_mesenteroides	hexanoic acid	0.347023750874643
204	hexanoic acid	Leuconostoc_mesenteroides	NA
205	Levilactobacillus_namurensis	ethyl-3-methylbutanoate	-0.346933865713133
206	ethyl-3-methylbutanoate	Levilactobacillus_namurensis	NA
207	Salinicola_salarius	3-pentanol	-0.345780316483285
208	3-pentanol	Salinicola_salarius	NA
209	Rhodobacteraceae_bacterium	1-hexanol	-0.345241809873763
210	1-hexanol	Rhodobacteraceae_bacterium	NA
211	Shewanella_sp_C32	ethanol	-0.344668927239418
212	ethanol	Shewanella_sp_C32	NA
213	Lentilactobacillus_kisonensis	2,3-butanediol	0.344375766640664
214	2,3-butanediol	Lentilactobacillus_kisonensis	NA
215	Alkalibacterium_thalassium	ethyl lactate	-0.344212718392214
216	ethyl lactate	Alkalibacterium_thalassium	NA
217	Marinilactibacillus_psychrotolerans	1-butanol	-0.344164042087043
218	1-butanol	Marinilactibacillus_psychrotolerans	NA
219	Secundilactobacillus_collinoides	2-butanol	0.344150557581035
220	2-butanol	Secundilactobacillus_collinoides	NA
221	Pediococcus_ethanolidurans	benzyl alcohol	-0.344120395898993
222	benzyl alcohol	Pediococcus_ethanolidurans	NA
223	Zunongwangia_profunda	3-pentanol	-0.343585464494809
224	3-pentanol	Zunongwangia_profunda	NA
225	Alkalibacterium_pelagium	ethyl lactate	-0.343502038709497
226	ethyl lactate	Alkalibacterium_pelagium	NA
227	Pediococcus_ethanolidurans	1-butanol	-0.342714231628288
228	1-butanol	Pediococcus_ethanolidurans	NA
229	Alkalibacterium_pelagium	ethanol	-0.342141800230855
230	ethanol	Alkalibacterium_pelagium	NA
231	Paucilactobacillus_suebicus	ethylhexanoate	-0.341590695283673
232	ethylhexanoate	Paucilactobacillus_suebicus	NA
233	Paucilactobacillus_suebicus	ethanol	-0.341048633735926
234	ethanol	Paucilactobacillus_suebicus	NA
235	Zunongwangia_profunda	isoamylalcohol	-0.34092757158189
236	isoamylalcohol	Zunongwangia_profunda	NA
237	Halomonas_hibernica	octanal	-0.340836537337879
238	octanal	Halomonas_hibernica	NA
239	Alkalibacterium_olivapovliticus	isoamylalcohol	-0.340301528225453
240	isoamylalcohol	Alkalibacterium_olivapovliticus	NA
241	Lentilactobacillus_parafarraginis	ethylbutanoate	0.339974736770794
242	ethylbutanoate	Lentilactobacillus_parafarraginis	NA
243	Malaciobacter_marinus	ethylheptanoate	-0.339283200640817
244	ethylheptanoate	Malaciobacter_marinus	NA
245	Rhodobacteraceae_bacterium	ethyl-3-methylbutanoate	-0.338664152925002
246	ethyl-3-methylbutanoate	Rhodobacteraceae_bacterium	NA
247	Shewanella_sp_C32	3-pentanol	-0.338122244899396
248	3-pentanol	Shewanella_sp_C32	NA
249	Idiomarina_loihiensis	3-pentanol	-0.338037163576758
250	3-pentanol	Idiomarina_loihiensis	NA
251	Marinilactibacillus_psychrotolerans	benzyl alcohol	-0.33764481538122
252	benzyl alcohol	Marinilactibacillus_psychrotolerans	NA
253	Levilactobacillus_brevis	3-pentanol	-0.336885580754202
254	3-pentanol	Levilactobacillus_brevis	NA
255	Salinicola_salarius	2-methyl-1-propanol	-0.336393613980073
256	2-methyl-1-propanol	Salinicola_salarius	NA
257	Paucilactobacillus_suebicus	2-methyl-1-propanol	-0.336266588988033
258	2-methyl-1-propanol	Paucilactobacillus_suebicus	NA
259	Alkalibacterium_pelagium	isoamylacetate	-0.335861428000608
260	isoamylacetate	Alkalibacterium_pelagium	NA
261	Marinilactibacillus_piezotolerans	isoamylacetate	-0.335464495965143
262	isoamylacetate	Marinilactibacillus_piezotolerans	NA
263	Zunongwangia_profunda	ethanol	-0.334973966647547
264	ethanol	Zunongwangia_profunda	NA
265	Enterococcus_sp_RIT_PI_f	3-pentanol	-0.334460944308215
266	3-pentanol	Enterococcus_sp_RIT_PI_f	NA
267	Levilactobacillus_brevis	1-butanol	-0.334435257011616
268	1-butanol	Levilactobacillus_brevis	NA
269	Shewanella_dokdonensis	benzyl alcohol	-0.334334687378415
270	benzyl alcohol	Shewanella_dokdonensis	NA
271	Pichia_kudriavzevii	α-farnesene	-0.333793679482162
272	α-farnesene	Pichia_kudriavzevii	NA
273	Lentilactobacillus_rapi	isovaleric acid	0.333408205605164
274	isovaleric acid	Lentilactobacillus_rapi	NA
275	Paucilactobacillus_suebicus	1-hexanol	-0.333399896857033
276	1-hexanol	Paucilactobacillus_suebicus	NA
277	Pediococcus_parvulus	2-butanol	0.333067276051342
278	2-butanol	Pediococcus_parvulus	NA
279	Leuconostoc_mesenteroides	ethylhydroxycinnamate	0.332666398851612
280	ethylhydroxycinnamate	Leuconostoc_mesenteroides	NA
281	Rhodobacteraceae_bacterium	hexanal	-0.332558617774005
282	hexanal	Rhodobacteraceae_bacterium	NA
283	Lentilactobacillus_buchneri	1-propanol	0.33219611657367
284	1-propanol	Lentilactobacillus_buchneri	NA
285	Lentilactobacillus_parafarraginis	1-propanol	0.332099821425552
286	1-propanol	Lentilactobacillus_parafarraginis	NA
287	Zunongwangia_profunda	2-methyl-1-propanol	-0.331631239492859
288	2-methyl-1-propanol	Zunongwangia_profunda	NA
289	Terasakiispira_papahanaumokuakeensis	ethanol	-0.331412435802159
290	ethanol	Terasakiispira_papahanaumokuakeensis	NA
291	Ancrocorticia_populi	3-pentanol	-0.330920937848844
292	3-pentanol	Ancrocorticia_populi	NA
293	Alkalibacterium_thalassium	isoamylacetate	-0.329670373591861
294	isoamylacetate	Alkalibacterium_thalassium	NA
295	Lentilactobacillus_parafarraginis	propylpropanoate	0.329235625243121
